id,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date
2515357153,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1990-id-2515357153/,"Rua Professor Roberval Froes, 490 - Jardim Esplanada, São José dos Campos - SP",55,2 Quartos,1 Banheiro,2 Vagas,"Mobiliado
Elevador
Salão de festas
Academia
Condomínio fechado",R$ 1.990 /mês,R$ 350,2021-05-14 08:57
2518814787,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS850-id-2518814787/,"Estrada Municipal Martins Guimarães, 1201 - Vila Tesouro, São José dos Campos - SP",47,2 Quartos,1 Banheiro,1 Vaga,"Área de serviço
Churrasqueira
Salão de festas
Academia
Condomínio fechado",R$ 850 /mês,R$ 250,2021-05-14 08:57
2486921454,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-50m2-venda-RS238000-id-2486921454/,"Rua Icatu - Parque Industrial, São José dos Campos - SP",50,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Área de serviço
Churrasqueira
Interfone","R$ 1.200 /mês
R$ 238.000",R$ 332,2021-05-14 08:57
2518588996,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-84m2-aluguel-RS2000-id-2518588996/,"Parque Residencial Aquarius, São José dos Campos - SP",84,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.000 /mês,R$ 490,2021-05-14 08:57
2518283572,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS2600-id-2518283572/,"Parque Residencial Aquarius, São José dos Campos - SP",75,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",R$ 2.600 /mês,R$ 532,2021-05-14 08:57
2518838157,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oriente-bairros-sao-jose-dos-campos-com-garagem-64m2-aluguel-RS1500-id-2518838157/,"Rua Tottoni, 576 - Jardim Oriente, São José dos Campos - SP",64,2 Quartos,2 Banheiros,1 Vaga,Vista para o mar,R$ 1.500 /mês,R$ 290,2021-05-14 08:57
2518589687,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-87m2-aluguel-RS2000-id-2518589687/,"Parque Residencial Aquarius, São José dos Campos - SP",87,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.000 /mês,R$ 400,2021-05-14 08:57
2504587496,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1600-id-2504587496/,"Rua Major Francisco de Paula Elias - Vila Adyana, São José dos Campos - SP",70,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Salão de festas
Ar-condicionado
Condomínio fechado",R$ 1.600 /mês,R$ 600,2021-05-14 08:57
2518858825,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS1400-id-2518858825/,"Vila Adyana, São José dos Campos - SP",100,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.400 /mês,R$ 640,2021-05-14 08:57
2515204397,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-70m2-venda-RS220000-id-2515204397/,"Jardim São Dimas, São José dos Campos - SP",70,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Salão de festas
Playground
Jardim","R$ 890 /mês
R$ 220.000",R$ 450,2021-05-14 08:57
2518916943,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-134m2-aluguel-RS3500-id-2518916943/,"Rua Pedro de Toledo - Vila Adyana, São José dos Campos - SP",134,3 Quartos,4 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",R$ 3.500 /mês,R$ 700,2021-05-14 08:57
2515804980,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-93m2-venda-RS500000-id-2515804980/,"Rua Armando de Oliveira Cobra - Parque Residencial Aquarius, São José dos Campos - SP",93,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Área de serviço
Churrasqueira
Varanda
Quadra poliesportiva","R$ 2.700 /mês
R$ 500.000",R$ 650,2021-05-14 08:57
2516247076,https://www.vivareal.com.br/imovel/apartamento-2-quartos-conjunto-residencial-trinta-e-um-de-marco-bairros-sao-jose-dos-campos-com-garagem-90m2-aluguel-RS2350-id-2516247076/,"Rua Icatu, 300 - Conjunto Residencial Trinta e Um de Março, São José dos Campos - SP",90,2 Quartos,1 Banheiro,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",R$ 2.350 /mês,R$ 419,2021-05-14 08:57
2515635075,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-72m2-aluguel-RS2500-id-2515635075/,"Rua Coronel José Domingues de Vasconcelos - Vila Adyana, São José dos Campos - SP",72,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Área de serviço
Churrasqueira
Sauna
Interfone",R$ 2.500 /mês,R$ 495,2021-05-14 08:57
2509626614,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-133m2-venda-RS1060000-id-2509626614/,"Avenida São João, 500 - Jardim Esplanada, São José dos Campos - SP",133,3 Quartos,1 Banheiro,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda","R$ 4.190 /mês
R$ 1.060.000",R$ 680,2021-05-14 08:57
2504673596,https://www.vivareal.com.br/imovel/apartamento-2-quartos-condominio-royal-park-bairros-sao-jose-dos-campos-com-garagem-78m2-aluguel-RS2500-id-2504673596/,"Rua Jesus Garcia - Condomínio Royal Park, São José dos Campos - SP",78,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 2.500 /mês,R$ 450,2021-05-14 08:57
2516405471,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-interlagos-bairros-sao-jose-dos-campos-com-garagem-38m2-aluguel-RS800-id-2516405471/,"Rua Waldemar Teixeira - Parque Interlagos, São José dos Campos - SP",38,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Salão de festas
Playground
Vigia
Salão de jogos",R$ 800 /mês,R$ 298,2021-05-14 08:57
2514348775,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-157m2-aluguel-RS5000-id-2514348775/,"Rua Laurent Martins, 479 - Jardim Esplanada, São José dos Campos - SP",157,4 Quartos,4 Banheiros,2 Vagas,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",R$ 5.000 /mês,R$ 750,2021-05-14 08:57
2519745047,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1100-id-2519745047/,"Rua José Cobra, 302 - Parque Industrial, São José dos Campos - SP",68,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.100 /mês,R$ 492,2021-05-14 08:57
