id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2515357153,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1990-id-2515357153/,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Professor Roberval Froes, 490 - Jardim Esplanada, São José dos Campos - SP",55,2 Quartos,1 Banheiro,2 Vagas,"Mobiliado
Elevador
Salão de festas
Academia
Condomínio fechado",R$ 1.990 /mês,R$ 350,2021-05-14 08:40
2518814787,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-tesouro-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS850-id-2518814787/,"Apartamento com 2 Quartos para Aluguel, 47m²","Estrada Municipal Martins Guimarães, 1201 - Vila Tesouro, São José dos Campos - SP",47,2 Quartos,1 Banheiro,1 Vaga,"Área de serviço
Churrasqueira
Salão de festas
Academia
Condomínio fechado",R$ 850 /mês,R$ 250,2021-05-14 08:40
2486921454,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-50m2-venda-RS238000-id-2486921454/,Apartamento com 2 Quartos para Venda/Aluguel 50m²,"Rua Icatu - Parque Industrial, São José dos Campos - SP",50,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Área de serviço
Churrasqueira
Interfone","R$ 1.200 /mês
R$ 238.000",R$ 332,2021-05-14 08:40
2518588996,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-84m2-aluguel-RS2000-id-2518588996/,"Apartamento com 2 Quartos para Aluguel, 84m²","Parque Residencial Aquarius, São José dos Campos - SP",84,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.000 /mês,R$ 490,2021-05-14 08:40
2518283572,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS2600-id-2518283572/,"Apartamento com 2 Quartos para Aluguel, 75m²","Parque Residencial Aquarius, São José dos Campos - SP",75,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",R$ 2.600 /mês,R$ 532,2021-05-14 08:40
2518838157,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oriente-bairros-sao-jose-dos-campos-com-garagem-64m2-aluguel-RS1500-id-2518838157/,"Apartamento com 2 Quartos para Aluguel, 64m²","Rua Tottoni, 576 - Jardim Oriente, São José dos Campos - SP",64,2 Quartos,2 Banheiros,1 Vaga,Vista para o mar,R$ 1.500 /mês,R$ 290,2021-05-14 08:40
2518589687,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-87m2-aluguel-RS2000-id-2518589687/,"Apartamento com 2 Quartos para Aluguel, 87m²","Parque Residencial Aquarius, São José dos Campos - SP",87,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.000 /mês,R$ 400,2021-05-14 08:40
2504587496,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1600-id-2504587496/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Major Francisco de Paula Elias - Vila Adyana, São José dos Campos - SP",70,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Salão de festas
Ar-condicionado
Condomínio fechado",R$ 1.600 /mês,R$ 600,2021-05-14 08:40
2518858825,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS1400-id-2518858825/,"Apartamento com 3 Quartos para Aluguel, 100m²","Vila Adyana, São José dos Campos - SP",100,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.400 /mês,R$ 640,2021-05-14 08:40
2515204397,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-70m2-venda-RS220000-id-2515204397/,Apartamento com 2 Quartos à Venda/Aluguel 70m²,"Jardim São Dimas, São José dos Campos - SP",70,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Salão de festas
Playground
Jardim","R$ 890 /mês
R$ 220.000",R$ 450,2021-05-14 08:40
