link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1890-id-2515357153/,"Rua Professor Roberval Froes, 490 - Jardim Esplanada, São José dos Campos - SP",55,2,1.0,2.0,"Mobiliado, Elevador, Salão de festas, Academia, Condomínio fechado",1890,350.0,2021-05-30 15:16:00,Jardim Esplanada
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-87m2-aluguel-RS2000-id-2518589687/,"Parque Residencial Aquarius, São José dos Campos - SP",87,2,2.0,1.0,0,2000,400.0,2021-05-30 15:16:00,Parque Residencial Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-70m2-venda-RS220000-id-2515204397/,"Jardim São Dimas, São José dos Campos - SP",70,2,1.0,1.0,"Churrasqueira, Salão de festas, Playground, Jardim",890,450.0,2021-05-30 15:16:00,Jardim São Dimas
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-das-industrias-bairros-sao-jose-dos-campos-com-garagem-142m2-venda-RS800000-id-2520766179/,"Rua Corifeu de Azevedo Marques, 3202 - Jardim das Indústrias, São José dos Campos - SP",142,3,5.0,3.0,"Mobiliado, Elevador, Piscina, Churrasqueira, Salão de festas",3600,850.0,2021-05-30 15:16:00,Jardim das Indústrias
https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-maringa-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS1100-id-2521322189/,"Jardim Maringá, São José dos Campos - SP",60,1,2.0,1.0,"Elevador, Salão de festas, Cozinha",1100,385.0,2021-05-30 15:16:00,Jardim Maringá
https://www.vivareal.com.br/imovel/apartamento-2-quartos-urbanova-bairros-sao-jose-dos-campos-com-garagem-62m2-aluguel-RS2500-id-2520775384/,"Avenida Shishima Hifumi, 1000 - Urbanova, São José dos Campos - SP",62,2,2.0,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Salão de festas",2500,390.0,2021-05-30 15:16:00,Urbanova
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-176m2-aluguel-RS3000-id-2519047832/,"Avenida São João - Jardim Esplanada, São José dos Campos - SP",176,3,2.0,2.0,"Mobiliado, Elevador, Piscina, Salão de festas, Quadra poliesportiva",3000,1300.0,2021-05-30 15:16:00,Jardim Esplanada
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-120m2-aluguel-RS4500-id-2521078116/,"Rua Doutor Tertuliano Delphim Júnior - Jardim Aquarius, São José dos Campos - SP",120,4,2.0,3.0,"Piscina, Área de serviço, Churrasqueira, Varanda, Sauna",4500,600.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-125m2-aluguel-RS3300-id-2521687408/,"Avenida São João - Jardim Esplanada, São José dos Campos - SP",125,3,3.0,2.0,0,3300,730.0,2021-05-30 15:16:00,Jardim Esplanada
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS900-id-2520751480/,"Rua Álvaro Gonçalves Júnior, 330 - Parque Industrial, São José dos Campos - SP",50,2,1.0,1.0,0,900,405.0,2021-05-30 15:16:00,Parque Industrial
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-98m2-aluguel-RS2800-id-2518968669/,"Rua do Aruana, 157 - Jardim Aquarius, São José dos Campos - SP",98,4,2.0,2.0,"Elevador, Interfone",2800,600.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-industrias-bairros-sao-jose-dos-campos-com-garagem-59m2-aluguel-RS1100-id-2520674062/,"Avenida Doutor João Batista Soares de Queiroz Júnior - Jardim das Indústrias, São José dos Campos - SP",59,2,1.0,1.0,"Piscina, Cozinha americana, Portão eletrônico",1100,410.0,2021-05-30 15:16:00,Jardim das Indústrias
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS2700-id-2519907207/,"Jardim Aquarius, São José dos Campos - SP",50,2,2.0,2.0,"Piscina, Área de serviço, Churrasqueira, Interfone, Armário na cozinha",2700,573.0,2021-05-30 15:16:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-55m2-aluguel-RS2000-id-2519068407/,"Jardim Aquarius, São José dos Campos - SP",55,1,1.0,0.0,0,2000,352.0,2021-05-30 15:16:00,Jardim Aquarius
