link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-75m2-aluguel-RS2850-id-2523144912/,"Rua dos Piquiroes, 121 - Jardim Aquarius, São José dos Campos - SP",75,2,2,0.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",2850,526.0,2021-06-20 09:31:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-147m2-aluguel-RS4290-id-2522794796/,"Rua Francisco Ricci, 150 - Vila Ema, São José dos Campos - SP",147,3,4,2.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Salão de festas",4290,590.0,2021-06-20 09:31:00,Vila Ema
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-98m2-aluguel-RS1600-id-2520040300/,"Jardim Aquarius, São José dos Campos - SP",98,3,2,2.0,"Elevador, Piscina, Churrasqueira, Condomínio fechado, Lavanderia",1600,560.0,2021-06-20 09:31:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-98m2-aluguel-RS2600-id-2515674577/,"Jardim Aquarius, São José dos Campos - SP",98,4,3,2.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",2600,688.0,2021-06-20 09:31:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-urbanova-bairros-sao-jose-dos-campos-com-garagem-54m2-aluguel-RS1500-id-2518735436/,"Urbanova, São José dos Campos - SP",54,2,2,1.0,0,1500,350.0,2021-06-20 09:31:00,Urbanova
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1300-id-2514490377/,"Avenida Nove de Julho, 579 - Vila Adyana, São José dos Campos - SP",68,2,2,1.0,0,1300,335.0,2021-06-20 09:31:00,Vila Adyana
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-augusta-bairros-sao-jose-dos-campos-com-garagem-63m2-aluguel-RS1250-id-2520463642/,"Rua Roma - Jardim Augusta, São José dos Campos - SP",63,2,2,1.0,0,1250,330.0,2021-06-20 09:31:00,Jardim Augusta
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-78m2-aluguel-RS2000-id-2523838711/,"Jardim Aquarius, São José dos Campos - SP",78,2,2,2.0,"Elevador, Área de serviço, Churrasqueira, Espaço gourmet, Cozinha",2000,520.0,2021-06-20 09:31:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-zizinha-bairros-sao-jose-dos-campos-com-garagem-54m2-venda-RS190000-id-2523157963/,"Rua Kenkiti Shimomoto, 401 - Vila Zizinha, São José dos Campos - SP",54,2,1,1.0,0,650,350.0,2021-06-20 09:31:00,Vila Zizinha
https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-nova-esperanca-bairros-sao-jose-dos-campos-com-garagem-47m2-venda-RS165000-id-2523074620/,"Parque Nova Esperança, São José dos Campos - SP",47,2,1,1.0,"Área de serviço, Varanda, Condomínio fechado, Cozinha, Interfone",650,238.0,2021-06-20 09:31:00,Parque Nova Esperança
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-77m2-venda-RS590000-id-2523559608/,"Rua Jesus Garcia - Jardim Aquarius, São José dos Campos - SP",77,2,2,2.0,"Área de serviço, Condomínio fechado, Cozinha, Segurança 24h, Salão de jogos",3000,300.0,2021-06-20 09:31:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oriente-bairros-sao-jose-dos-campos-com-garagem-61m2-aluguel-RS1300-id-2520833422/,"Praça Alexandre Magno - Jardim Oriente, São José dos Campos - SP",61,2,1,1.0,0,1300,258.0,2021-06-20 09:31:00,Jardim Oriente
https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS3200-id-2521775497/,"Rua Jesus Garcia, 51 - Jardim Aquarius, São José dos Campos - SP",100,3,3,2.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",3200,540.0,2021-06-20 09:31:00,Jardim Aquarius
https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-augusta-bairros-sao-jose-dos-campos-81m2-aluguel-RS2500-id-2522435050/,"Rua Haia, 110 - Jardim Augusta, São José dos Campos - SP",81,2,2,0.0,"Elevador, Piscina, Churrasqueira, Academia, Jardim",2500,400.0,2021-06-20 09:31:00,Jardim Augusta
