,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood,zona
132,https://www.vivareal.com.br/imovel/apartamento-2-quartos-putim-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS800-id-2523229877/,"Avenida São Francisco de Assis, 150 - Putim, São José dos Campos - SP",50,2,2,1.0,"Elevador, Condomínio fechado, Varanda gourmet, Aceita animais, Portão eletrônico",800,300.0,2021-06-20 09:31:00,Putim,Sudeste
196,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-leopoldo-bairros-sao-jose-dos-campos-com-garagem-46m2-aluguel-RS800-id-2521049719/,"Avenida José Gonçalves de Campos - Jardim São Leopoldo, São José dos Campos - SP",46,2,1,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Condomínio fechado",800,254.0,2021-06-20 09:32:00,Jardim São Leopoldo,Sudeste
211,https://www.vivareal.com.br/imovel/apartamento-2-quartos-chacaras-sao-jose-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS1100-id-2522965299/,"Chácaras São José, São José dos Campos - SP",60,2,1,1.0,0,1100,380.0,2021-06-20 09:32:00,Chácaras São José,Sudeste
422,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-56m2-venda-RS160000-id-2518052182/,"Rua Medina - Vila Iracema, São José dos Campos - SP",56,2,1,1.0,Salão de festas,1100,278.0,2021-06-20 09:33:00,Vila Iracema,Sudeste
770,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-47m2-venda-RS180000-id-2519933915/,"Vila Iracema, São José dos Campos - SP",47,2,1,1.0,"Varanda, Sala de jantar",750,257.0,2021-06-20 09:35:00,Vila Iracema,Sudeste
844,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-souto-bairros-sao-jose-dos-campos-com-garagem-72m2-aluguel-RS2150-id-2488745667/,"Rua Avião Tangará - Jardim Souto, São José dos Campos - SP",72,3,2,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Varanda",2150,460.0,2021-06-20 09:36:00,Jardim Souto,Sudeste
1261,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-46m2-aluguel-RS800-id-2521643275/,"Vila Iracema, São José dos Campos - SP",46,2,1,1.0,"Churrasqueira, Quadra poliesportiva, Condomínio fechado, Sistema de alarme, TV a cabo",800,245.0,2021-06-20 09:39:00,Vila Iracema,Sudeste
1509,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-judas-tadeu-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS700-id-2507788504/,"Jardim São Judas Tadeu, São José dos Campos - SP",50,2,1,1.0,"Área de serviço, Quadra poliesportiva",700,300.0,2021-06-20 09:40:00,Jardim São Judas Tadeu,Sudeste
1594,https://www.vivareal.com.br/imovel/apartamento-2-quartos-putim-bairros-sao-jose-dos-campos-com-garagem-50m2-venda-RS175000-id-2486120038/,"Putim, São José dos Campos - SP",50,2,1,1.0,Varanda,800,220.0,2021-06-20 09:41:00,Putim,Sudeste
1609,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-iracema-bairros-sao-jose-dos-campos-com-garagem-46m2-venda-RS200000-id-2486121592/,"Vila Iracema, São José dos Campos - SP",46,2,1,1.0,"Elevador, Piscina, Área de serviço, Churrasqueira, Condomínio fechado",900,238.0,2021-06-20 09:41:00,Vila Iracema,Sudeste
